TIME,O3PPM,TMP,RH%
11:49:29,19.98773,32.7,20.8
11:49:29,19.968273,32.7,20.8
11:49:29,20.313671,32.7,20.9
11:49:29,20.598246,32.7,20.9
11:49:29,20.984514,32.7,20.9
11:49:29,21.452843,32.7,20.9
11:49:30,22.053707,32.7,20.9
11:49:30,22.856966,32.7,20.9
11:49:30,23.892403,32.7,20.9
11:49:30,25.136131,32.7,20.9
11:49:30,26.577183,32.7,20.8
11:49:30,28.129604,32.7,20.8
11:49:30,29.750175,32.7,20.8
11:49:31,31.451292,32.7,20.8
11:49:31,33.16258,32.7,20.8
11:49:31,34.90654,32.7,20.8
11:49:31,36.62758,32.7,20.8
11:49:31,38.36886,32.7,20.8
11:49:31,40.101135,32.7,20.8
11:49:32,41.885914,32.7,20.8
11:49:32,43.731407,32.7,20.8
11:49:32,45.636745,32.7,20.8
11:49:32,47.51145,32.7,20.8
11:49:32,49.411148,32.7,20.8
11:49:32,51.240124,32.7,20.8
11:49:32,53.09,32.7,20.8
11:49:33,54.91839,32.7,20.8
11:49:33,56.75448,32.7,20.8
11:49:33,58.579796,32.7,20.8
11:49:33,60.418503,32.7,20.8
11:49:33,62.220024,32.7,20.8
11:49:33,64.07213,32.7,20.8
11:49:34,65.8905,32.7,20.8
11:49:34,67.72342,32.7,20.8
11:49:34,69.57562,32.7,20.8
11:49:34,71.40097,32.7,20.8
11:49:34,73.199326,32.7,20.8
11:49:34,74.99045,32.7,20.8
11:49:34,76.764046,32.7,20.8
11:49:35,78.51829,32.7,20.8
11:49:35,80.29536,32.7,20.8
11:49:35,82.06902,32.7,20.8
11:49:35,83.834984,32.7,20.8
11:49:35,85.59436,32.7,20.8
11:49:35,87.33433,32.7,20.8
11:49:36,89.0217,32.7,20.8
11:49:36,90.71109,32.7,20.8
11:49:36,92.45734,32.7,20.8
11:49:36,94.20729,32.7,20.8
11:49:36,95.93342,32.7,20.8
11:49:36,97.70753,32.7,20.8
11:49:36,99.45275,32.7,20.8
11:49:37,101.18093,32.7,20.8
11:49:37,102.904625,32.7,20.8
11:49:37,104.596535,32.7,20.8
11:49:37,106.28874,32.7,20.8
11:49:37,107.977295,32.7,20.8
11:49:37,109.60736,32.7,20.8
11:49:38,111.24942,32.7,20.8
11:49:38,112.88884,32.7,20.8
11:49:38,114.47945,32.7,20.8
11:49:38,116.010315,32.7,20.8
11:49:38,117.51301,32.7,20.8
11:49:38,118.97826,32.7,20.8
